Date,AAPL,SPY,TSLA,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-02,72.27153778076172,296.1252746582031,28.68400001525879,26.66554832458496,50.91964340209961,23.188852310180664,27.546476364135742,74.96611022949219,44.241424560546875,52.62479782104492,30.74522590637207,26.098270416259766,91.90078735351562,60.035560607910156
2020-01-03,71.56891632080078,293.8829650878906,29.534000396728516,26.235031127929688,50.59119415283203,23.11995506286621,27.253995895385742,74.82160949707031,43.74401092529297,52.54056167602539,30.9704647064209,26.151437759399414,91.09991455078125,59.524662017822266
2020-01-06,72.13920593261719,295.004150390625,30.1026668548584,26.120813369750977,51.266868591308594,23.29986000061035,27.236270904541016,74.84868621826172,43.848236083984375,52.650062561035156,30.978506088256836,26.175973892211914,91.66683197021484,59.69021987915039
2020-01-07,71.79991149902344,294.1745910644531,31.270666122436523,26.090063095092773,51.332550048828125,23.238615036010742,27.059009552001953,74.69517517089844,43.82927322387695,52.24577713012695,30.640644073486328,26.139169692993164,91.48686218261719,59.595611572265625
2020-01-08,72.95491790771484,295.7424621582031,32.80933380126953,26.18231964111328,51.69853973388672,22.8558349609375,27.236270904541016,74.94803619384766,44.298274993896484,52.43948745727539,30.793489456176758,26.12689971923828,92.08078002929688,59.77537155151367
2020-01-09,74.50453186035156,297.74786376953125,32.089332580566406,26.278963088989258,51.97068786621094,23.024259567260742,27.404664993286133,75.26412200927734,44.800418853759766,52.81009292602539,30.78544807434082,26.270051956176758,92.4766845703125,60.092323303222656
2020-01-10,74.67298126220703,296.89093017578125,31.876667022705078,26.173532485961914,51.76424026489258,22.89411163330078,27.20081329345703,74.73130798339844,44.69620895385742,52.776405334472656,31.083080291748047,26.339582443237305,92.50369262695312,59.76590347290039
2020-01-13,76.268310546875,298.9327697753906,34.990665435791016,26.51179313659668,52.252220153808594,22.90176773071289,27.386943817138672,75.34539031982422,45.25519943237305,53.12172317504883,31.461162567138672,26.499088287353516,92.17972564697266,59.955135345458984
2020-01-14,75.23844909667969,298.4770812988281,35.861331939697266,26.401968002319336,52.12083053588867,22.905597686767578,27.33376121520996,75.35445404052734,45.04202651977539,53.138580322265625,31.308317184448242,26.576805114746094,92.7376480102539,59.93621826171875
2020-01-15,74.91600799560547,299.15155029296875,34.56666564941406,26.582080841064453,52.374229431152344,22.737173080444336,27.183090209960938,75.47183990478516,45.09414291381836,53.51759719848633,31.525508880615234,26.94898796081543,93.53848266601562,59.79901885986328
2020-01-16,75.85443115234375,301.6399841308594,34.232666015625,26.74022674560547,52.77774429321289,22.775447845458984,27.422388076782227,76.2214126586914,45.70050811767578,53.66078186035156,31.807064056396484,27.116683959960938,94.02442932128906,60.33357620239258
2020-01-17,76.69422912597656,302.578857421875,34.03333282470703,26.858837127685547,53.19065475463867,22.62999153137207,27.50216293334961,76.23043823242188,46.00843811035156,53.75343322753906,31.847286224365234,27.30482292175293,94.02442932128906,60.54645919799805
2020-01-21,76.17446899414062,301.98638916015625,36.47999954223633,26.56890106201172,53.14373779296875,22.2242431640625,27.27172088623047,75.39054107666016,45.98948669433594,53.938724517822266,32.1690673828125,27.554309844970703,94.12338256835938,60.36196517944336
2020-01-22,76.44637298583984,302.0227966308594,37.97066879272461,26.46347427368164,53.11558151245117,22.009891510009766,27.351491928100586,74.9931869506836,46.1552848815918,53.980838775634766,31.91164207458496,27.640195846557617,94.2403793334961,60.33357620239258
2020-01-23,76.81452941894531,302.36920166015625,38.14666748046875,26.432716369628906,52.89974594116211,21.92568016052246,27.280582427978516,75.80597686767578,46.37320327758789,53.93031311035156,32.21732711791992,27.885604858398438,93.76347351074219,60.423458099365234
2020-01-24,76.59314727783203,299.68017578125,37.654666900634766,26.24382209777832,52.26160430908203,21.67304229736328,26.934926986694336,75.45378875732422,46.1552848815918,53.55971145629883,32.1690673828125,27.959218978881836,92.19773864746094,59.5814208984375
2020-01-27,74.34092712402344,294.8764953613281,37.201332092285156,25.677122116088867,51.44516372680664,21.07207489013672,26.518354415893555,74.0268783569336,45.05624008178711,53.391258239746094,32.032310485839844,27.88968849182129,91.4958724975586,58.69207763671875
2020-01-28,76.4439697265625,297.9665222167969,37.793331146240234,25.967058181762695,52.03639221191406,21.167774200439453,26.828569412231445,74.50552368164062,45.91843032836914,53.45863723754883,32.11273956298828,28.00420570373535,91.9457778930664,59.264469146728516
2020-01-29,78.04410552978516,297.7204284667969,38.732666015625,26.05052375793457,51.95191955566406,20.945758819580078,26.784250259399414,74.90287780761719,46.03685760498047,53.18911361694336,31.94382667541504,28.07782554626465,91.69383239746094,59.231353759765625
2020-01-30,77.93101501464844,298.6866455078125,42.72066879272461,25.887985229492188,51.426395416259766,21.114179611206055,27.121051788330078,74.9841537475586,46.434783935546875,53.8208122253418,32.01621627807617,28.339588165283203,91.02794647216797,59.13202667236328
2020-01-31,74.47566986083984,293.2631530761719,43.371334075927734,25.31689453125,50.59119415283203,20.455795288085938,26.553810119628906,73.25019073486328,45.16045379638672,53.21438217163086,31.55769157409668,28.212800979614258,89.21026611328125,59.28339767456055
2020-02-03,74.27112579345703,295.441650390625,52.0,25.848451614379883,51.19178771972656,20.18785285949707,26.739933013916016,73.22313690185547,45.757354736328125,53.21438217163086,31.589872360229492,28.302776336669922,90.02013397216797,59.704410552978516
2020-02-04,76.72309112548828,299.9446105957031,59.137332916259766,26.305320739746094,51.72669219970703,20.26058006286621,26.996965408325195,74.60484313964844,46.955902099609375,53.534446716308594,32.000125885009766,28.020565032958984,91.6038589477539,60.79243850708008
2020-02-05,77.34871673583984,303.4083251953125,48.97999954223633,26.792943954467773,51.81116485595703,21.022314071655273,27.53761100769043,75.85113525390625,47.230655670166016,53.9639892578125,31.975990295410156,28.13509178161621,93.36754608154297,61.09992980957031
2020-02-06,78.25345611572266,304.4292297363281,49.930667877197266,26.779762268066406,52.458683013916016,20.80795669555664,27.50216293334961,76.09497833251953,47.66175079345703,54.05664825439453,32.11273956298828,28.14326286315918,93.44851684570312,60.96273422241211
2020-02-07,77.18977355957031,302.8066711425781,49.871334075927734,26.397571563720703,52.421146392822266,20.662500381469727,27.404664993286133,75.54409790039062,47.225921630859375,54.1240234375,32.128841400146484,28.053287506103516,92.71965026855469,60.69783401489258
